1,2.44692513369,0.05476700183744595,2.49572192513,1:C:0.1325103623850098_0.6247248887158724_0.008884163207001607_0.05342806484319324_0.18045252084892296|0.6037409784128136_0.1807450347655911_0.09057122983377472_0.011474995225389802_0.11346776176243079|0.5843687834950047_0.10162357434675326_0.2729140227389089_0.022706230196584354_0.018387389222748796|0.8515153819824604_0.11901049003137926_0.0289629149136499_0.00043520370925549494_7.600936325499567e-05|0.3306885488585882_0.3643494470351754_0.10457910262808363_0.09272748145572843_0.10765542002242431:0.48192314920703716_0.12856764332304083_0.27685077915648076_0.09315789046345561_0.019500537849985636|0.6433161921017331_0.28792269247348234_0.025640038039746134_0.03933432179289789_0.0037867555921405546|0.7092625886065954_0.24942959482310068_0.00851597915430927_0.030284810151188547_0.002507027264806099|0.507307395745123_0.4887541960979541_0.000279936387784939_0.00038685911188378807_0.0032716126572541965|0.7166308017994378_0.09661042131742159_0.026728976082259038_0.1438336656135053_0.016196135187376226:0.13469036401657564_0.6436808736958551_0.06527801427953606_0.866819879226215_0.030301036716151586
2,2.44532085561,0.06742886647912216,2.52780748663,1:C:0.1062958538534063_0.5011356415778696_0.007126610303256416_0.042858397411528325_0.3425834968539394|0.6037409784128136_0.1807450347655911_0.09057122983377472_0.011474995225389802_0.11346776176243079|0.5843687834950047_0.10162357434675326_0.2729140227389089_0.022706230196584354_0.018387389222748796|0.8404980752704866_0.12784086645773138_0.031111914056704458_0.00046749508603965447_8.164912903775968e-05|0.42305882252395594_0.186795020867212_0.13379088018366372_0.11862878002784406_0.13772649639732426:0.5314300517576664_0.14177511384947408_0.30529104928527157_0.0_0.02150378510758801|0.6074983198348062_0.27189204013116725_0.07988941196811336_0.03714430740964198_0.003575920656271394|0.7086563292321307_0.18918551280632678_0.006459136833777104_0.09379750964494335_0.0019015114828220797|0.5073073957451231_0.4887541960979542_0.00027993638778493903_0.0003868591118837881_0.003271612657254197|0.7166308017994378_0.09661042131742159_0.026728976082259038_0.1438336656135053_0.016196135187376226:0.13469036401657564_0.6436808736958551_0.06527801427953606_0.866819879226215_0.030301036716151586
3,2.41226604278,0.06766990080366352,2.50909090909,1:C:0.13206709844064257_0.62263510484288_0.012199571204039692_0.05324934119972835_0.1798488843127093|0.6037409784128136_0.1807450347655911_0.09057122983377472_0.011474995225389802_0.11346776176243079|0.6615698117586594_0.09743097410158548_0.2016009603869006_0.021769457927935283_0.0176287958249192|0.8100982831457506_0.11322190495995135_0.07619346385981125_0.0004140357122683204_7.231232221844001e-05|0.2783470334069606_0.30668007119011476_0.08802628053908546_0.07805053869445665_0.24889607616938247:0.32873653753249366_0.16658293318108633_0.3587108984293774_0.1207031119281914_0.025266518928851213|0.5712084049652361_0.2556501203300444_0.022766106949808126_0.1470130606214426_0.0033623071334690363|0.5965843585377874_0.37077900677934256_0.007163073370436503_0.025473561312433616_0.0|0.45770832377153853_0.44096905684515847_0.0002525672124836859_0.098118302683347_0.002951749487472287|0.7166308017994378_0.09661042131742159_0.026728976082259038_0.1438336656135053_0.016196135187376226:0.13469036401657564_0.6436808736958551_0.06527801427953606_0.866819879226215_0.030301036716151586
1,2.45909090909,0.0423178499363094,2.51443850267,3:C:0.9952212438304864_0.0018743474843081235_0.0028260015728328288_5.0428315292545326e-05_2.7978797080123092e-05|0.9299246712525312_0.022076258637269138_0.004351660050066392_0.04148527765914401_0.00216213240098926|0.9327365863570252_0.03892243073711796_0.0027128556599113523_0.015070739106192464_0.01055738813975306|0.46061558012916015_0.1615606800001331_0.03140227028295408_0.09468728668548239_0.2517341829022703|0.8749059411453518_0.02187845315229432_0.046147990140390005_0.042041342562723176_0.01502627299924069:0.9926917822455058_0.006715785992686793_0.0005202856491007301_6.765074214424443e-05_4.495370562427399e-06|0.6717262609656144_0.22288124621489286_0.04992335144571519_0.03230387658576454_0.02316526478801302|0.27823306948522886_0.6394875003804744_0.05245826733197186_0.01006647811594555_0.019754684686379316|0.7733820075947111_0.18910782053857622_0.03746900343781971_1.7979530296313797e-05_2.31888985966571e-05|0.8183258193463313_0.051489607644533336_0.11460547077359276_0.004078215368716374_0.011500886866826224:0.3253334359600747_0.7341386763555721_0.03521882622654282_0.938863696423331_0.9615644605455737
2,2.46530748663,0.023068277698119644,2.49839572193,3:C:0.9751103433648177_0.0018364716693286178_0.002768895239241798_0.020256876310151054_2.741341646077275e-05|0.9299246712525312_0.022076258637269138_0.004351660050066392_0.04148527765914401_0.00216213240098926|0.9344966526292823_0.038995877044013916_0.002717974796244538_0.013212185686058135_0.010577309844401188|0.46061558012916015_0.1615606800001331_0.03140227028295408_0.09468728668548239_0.2517341829022703|0.8749059411453518_0.02187845315229432_0.046147990140390005_0.042041342562723176_0.01502627299924069:0.8414976072350515_0.00569292296423077_0.00044104236242052577_5.734704231487042e-05_0.15231108039598226|0.6882531824711721_0.21166030337587846_0.047409963341431674_0.03067753987595473_0.021999010935563237|0.27823306948522886_0.6394875003804744_0.05245826733197186_0.01006647811594555_0.019754684686379316|0.7733820075947111_0.18910782053857622_0.03746900343781971_1.7979530296313797e-05_2.31888985966571e-05|0.9242499160925743_0.05815442262730172_0.0_0.004606099579449197_0.012989561700674675:0.3253334359600747_0.7341386763555721_0.03521882622654282_0.938863696423331_0.9615644605455737
3,2.46370320856,0.03333993823197667,2.53048128342,3:C:0.9952212438304864_0.0018743474843081235_0.0028260015728328288_5.0428315292545326e-05_2.7978797080123092e-05|0.9299246712525312_0.022076258637269138_0.004351660050066392_0.04148527765914401_0.00216213240098926|0.9327365863570252_0.03892243073711796_0.0027128556599113523_0.015070739106192464_0.01055738813975306|0.46061558012916015_0.1615606800001331_0.03140227028295408_0.09468728668548239_0.2517341829022703|0.8749059411453518_0.02187845315229432_0.046147990140390005_0.042041342562723176_0.01502627299924069:0.9926917822455058_0.006715785992686793_0.0005202856491007301_6.765074214424443e-05_4.495370562427399e-06|0.6717262609656144_0.22288124621489286_0.04992335144571519_0.03230387658576454_0.02316526478801302|0.27823306948522886_0.6394875003804744_0.05245826733197186_0.01006647811594555_0.019754684686379316|0.7733820075947111_0.18910782053857622_0.03746900343781971_1.7979530296313797e-05_2.31888985966571e-05|0.8183258193463313_0.051489607644533336_0.11460547077359276_0.004078215368716374_0.011500886866826224:0.3253334359600747_0.7341386763555721_0.03521882622654282_0.938863696423331_0.9615644605455737
